Clases con grupos
id;año;Nombre del curso;Acronimo;Nombre de la clase;Codigo de la clase;Horas totales por clase;Nombre del grupo;Horas semanales por grupo
1;2013;Desenvolupament d'aplicacions Informatiques;DAI;Programació Orientada a objectes;POO;7 H/Total X curso;A;3 H/Semana X clase
2;2013;Desenvolupament d'aplicacions Informatiques;DAI;Programació Orientada a objectes;POO;7 H/Total X curso;B;4 H/Semana X clase
